Ticker,cusip
ADBE,00724F10
ADBE,00724F10
TIF,88654710
TIF,88654710
TIF,88654710
TIF,88654710
TIF,88654710
WDAY,98138H10
SIG,G8127610
SIG,G8127610
SIG,G8127610
SIG,G8127610
SIG,G8127610
SPLS,85503010
SPLS,85503010
SPLS,85503010
CSCO,17275R10
CSCO,17275R10
CSCO,17275R10
CSCO,17275R10
CSCO,17275R10
AZO,5333210
AZO,5333210
AZO,5333210
AZO,5333210
AZO,5333210
AZO,5333210
AZO,5333210
AZO,5333210
SNPS,87160710
SNPS,87160710
SNPS,87160710
SNPS,87160710
SNPS,87160710
KSS,50025510
KSS,50025510
KSS,50025510
KSS,50025510
KSS,50025510
BBBY,7589610
PDCO,70339510
PDCO,70339510
PDCO,70339510
PDCO,70339510
INTU,46120210
INTU,46120210
INTU,46120210
INTU,46120210
INTU,46120210
JBL,46631310
JBL,46631310
JBL,46631310
JBL,46631310
JBL,46631310
JBL,46631310
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
COST,22160K10
URBN,91704710
URBN,91704710
URBN,91704710
CPRT,21720410
CPRT,21720410
CPRT,21720410
CPRT,21720410
CPRT,21720410
CPRT,21720410
CPRT,21720410
CPRT,21720410
CPRT,21720410
DLTR,25674610
DRI,23719410
DRI,23719410
DRI,23719410
NTAP,64110D10
NTAP,64110D10
NTAP,64110D10
NTAP,64110D10
MSM,55353010
MSM,55353010
MSM,55353010
MSM,55353010
MSM,55353010
MSM,55353010
FDS,30307510
FDS,30307510
FDS,30307510
FDS,30307510
FDS,30307510
MTN,91879Q10
MTN,91879Q10
MTN,91879Q10
MTN,91879Q10
KMX,14313010
KMX,14313010
KMX,14313010
KMX,14313010
KMX,14313010
NVDA,67066G10
NVDA,67066G10
NVDA,67066G10
BRCD,11162130
BRCD,11162130
BRCD,11162130
BRCD,11162130
RHT,75657710
RHT,75657710
RHT,75657710
RHT,75657710
RHT,75657710
A,00846U10
A,00846U10
A,00846U10
A,00846U10
A,00846U10
MON,61166W10
MON,61166W10
MON,61166W10
MON,61166W10
MON,61166W10
MON,61166W10
GPN,37940X10
GPN,37940X10
GME,36467W10
GME,36467W10
GME,36467W10
GME,36467W10
GME,36467W10
AYI,00508Y10
AYI,00508Y10
AYI,00508Y10
AYI,00508Y10
AYI,00508Y10
AYI,00508Y10
DKS,25339310
DKS,25339310
DKS,25339310
DKS,25339310
DKS,25339310
CRM,79466L30
CRM,79466L30
CRM,79466L30
CRM,79466L30
CRM,79466L30
PANW,69743510
PANW,69743510
VMW,92856340
VMW,92856340
AVGO,Y0982710
AVGO,Y0982710
AVGO,Y0982710
AVGO,Y0982710
