Date,A,ADBE,ADSK,AMAT,AVGO,AYI,AZO,BBY,CAG,CASY,COO,COST,CPB,CPRT,CRM,CSCO,DCI,DG,DKS,DLTR,DRI,FDS,FDX,FL,GIS,GME,GPN,GPS,HD,HPQ,HRL,INTU,JBL,JWN,KMX,KR,KSS,LOW,M,MON,MSM,MTN,MU,NKE,NTAP,NVDA,ORCL,PANW,PAYX,PVH,RAD,RHT,RPM,SJM,SNPS,STZ,THO,TJX,TTC,VMW,WDAY,WMT,WSM
2012-10-26,24.7015219351,34.01,32.31,9.65909357645,31.1700751934,63.1220924263,370.75,12.8659518059,24.7367580637,49.355052465,94.7987728948,82.8508887677,30.1366740722,13.65,36.6625,14.7263262693,29.5388852737,45.9841689059,45.1273419917,39.85,39.0287775275,83.7737697198,87.7243380005,30.3475925053,34.0549843752,18.5493359097,21.4255765616,30.6607906976,54.0168407206,5.57772507624,13.3844111716,56.1947094104,16.0120843083,46.117626023,33.57,11.6511563606,43.235715878,28.8333476599,32.8730531717,79.040141355,63.9729963942,51.4802577206,5.47,21.409716293,25.466956683,11.1811911281,28.8813354856,56.3,27.7408673297,90.8384691619,1.1,50.27,23.4853568087,75.322285661,32.31,34.6579967528,32.9749602271,38.3145028233,19.2332773033,85.01,50.0,65.9120508884,40.7553155705
2012-10-31,24.7358868793,34.025,31.852,9.61374571929,30.4329761643,63.4950152361,375.0,13.080957685,24.4123128144,49.1696501296,95.7867798973,84.1243344482,30.6140695428,14.395,36.495,14.6028261358,29.5939095865,46.9399599455,44.8671127378,39.87,39.0882046726,83.4971364681,88.9818265814,30.3566541931,34.25153761,18.4122321225,21.2713283327,30.9292133216,55.2224131151,5.48271769382,13.4710859543,56.2325573373,16.0676818233,46.9445513596,33.75,11.6696649489,44.0122075273,29.7711670034,32.5227945491,78.5564083883,67.5019169874,51.4893259358,5.425,21.4637397131,24.580911203,11.1115986522,28.9652115809,54.98,27.5889791312,109.194789324,1.16,49.17,23.6271551895,75.8626431143,32.2,34.4532659703,33.1230252888,39.1611282233,19.7814608464,84.77,48.5,65.8330722627,41.0483276432
2012-11-01,25.4987886419,34.36,32.39,9.93118071945,31.7873956303,64.859127619,380.34,12.9433539224,24.640301368,48.5687407294,98.2518074691,83.0137872554,30.5706699546,14.8425,36.555,14.909447157,31.2354682528,46.8241064862,46.2759400778,40.38,39.5190514743,85.0370615692,89.9684714679,31.1359593455,34.3369955382,19.033231629,21.8435395043,30.8686017614,56.0141322996,5.54209730783,13.7083011488,58.1249536804,16.4012669131,47.291860001,34.96,11.567867713,45.4247614851,30.3044368262,34.6158033919,79.2683172827,66.5970655532,51.7432359615,5.785,22.3962309219,25.6633482069,11.6451409674,29.3379942267,56.19,28.3381093924,113.92037526,1.11,50.87,24.300697498,75.6589017794,33.32,34.8822257051,34.9346448681,39.7913937988,20.1984551655,88.02,48.92,64.4553340135,42.4068381622
2012-11-02,25.4300587534,34.39,32.14,9.80420671939,31.2990675235,62.6902870677,382.91,12.6337454565,24.6139949964,47.9201401069,95.936477928,82.1500663127,30.5793498722,14.495,36.65,14.7774297729,30.3183963722,46.1193312751,45.279890175,39.59,39.0956330657,83.6538953107,89.6105708718,30.7825535206,34.020801204,19.2025951308,21.5300672973,30.4010268679,55.7982088856,5.44708992541,13.5714462289,57.8978661192,16.1232793383,46.704743012,34.68,11.5354776834,45.0612973088,30.4791286647,34.692689431,78.3738676461,65.0407210865,50.6097090609,5.71,22.2059745292,25.3390738302,11.5894669867,29.0863659408,54.6,28.031751453,110.316619599,1.13,50.64,24.1766239148,75.3488606177,32.55,34.9114729597,34.6036759065,39.0576517855,19.7720901875,88.74,48.52,63.858606619,41.465647868
2012-11-05,25.8493110734,34.24,31.9811,10.0581547195,31.6215483488,64.3880672278,383.23,12.4445402828,24.6227637869,48.3302846182,97.3336595476,83.5260713768,30.4057515193,14.375,36.2725,14.8200160258,30.7952737501,46.0807134554,45.459358626,39.53,39.3779120048,83.4971364681,89.8040306535,31.1903294724,33.9866180327,19.1300107729,21.3658675698,30.6261555203,56.1220940065,5.54605594877,13.6261881969,57.6613165764,16.7719170128,47.6474378957,34.53,11.5354776834,45.3751981883,30.3963798991,35.162548559,80.3635617356,65.3302735454,51.5074623662,5.84,22.3750913227,25.5571140942,12.0812538164,29.1236442054,55.8,27.8700625405,110.564812137,1.12,50.11,24.3272846943,75.1716942396,32.28,34.8237311958,34.9694837062,39.4997783833,19.776775517,89.62,49.88,64.1832965248,41.9273638614
2012-11-06,26.3098013265,34.39,32.41,10.3937288626,32.5060671837,65.7227383363,385.26,12.8573515707,24.8770587121,49.2078031074,97.6031160029,84.4320125992,30.6401092957,14.545,36.93,14.8881540305,31.2171268152,46.3413837389,45.9708437112,39.03,40.165321677,83.5616842268,90.3360450531,31.2084528481,34.0122554111,19.291309346,21.5101643,31.1197067967,56.3380174205,5.7004429452,13.7174248102,58.4561230405,17.1240346075,48.1270545909,34.73,11.618766331,45.5238880786,30.6078489667,35.3504922102,81.1849950754,65.8754496807,52.5321706844,6.09,22.5794407816,25.7044534096,12.0719748196,29.4777877189,55.42,28.0998309951,113.285002361,1.12,50.43,24.4602206763,75.9778012601,32.42,35.4476726282,38.5404646077,39.2034594933,19.8798527644,92.91,48.54,64.7273715022,41.8030557093
2012-11-07,25.8286921068,33.47,31.57,9.93118071945,31.2898537857,62.6706595514,384.37,13.3045637993,24.5175383007,47.7770664402,96.2957532016,83.1585669187,30.5619900369,14.40995,36.63,14.6581882646,30.5201521859,46.322074829,45.5042257387,38.83,39.1773453902,82.4920356536,88.5175231054,30.7734918328,33.9438890686,18.8719330559,20.9479046271,30.5309087828,55.7712184589,5.41937943887,13.5714462289,57.273375326,16.5402607005,47.3414755211,34.1,11.401290418,44.8713046712,30.1297449877,34.5560031392,79.7246691381,65.1394618981,50.174434731,5.91,22.2318118171,25.3299393407,11.7006293682,28.6949441627,53.9,27.7849631129,111.438449874,1.09,48.65,24.0171007365,74.9325196291,31.65,34.8724766202,37.3036858564,38.6940786433,19.6877542578,90.19,48.07,64.1569703162,41.0927234118
2012-11-08,25.3475828872,32.9803,30.73,9.52305000495,31.1792889313,61.2672921358,378.97,13.1239588608,24.2807809566,47.1570805511,93.8307256297,80.9706334006,30.7789879781,14.355,35.82,14.3345327422,29.9607383387,46.4572371982,44.2389731595,38.13,38.1447987445,82.3444979194,87.085920721,29.1152029619,33.5935115631,18.1622193341,20.649359668,29.5005122583,54.7545790516,5.47084177102,13.4984569382,56.6015746242,16.2159418632,45.8116636484,33.88,11.3550189471,42.5831324706,29.5137263993,33.3258265132,78.7937113531,64.1672311235,48.9774303239,5.69,21.5764842421,24.9472955762,11.7657679256,28.3502134109,51.96,27.4190355742,109.413198758,1.09,48.33,23.8132655642,74.2504290733,31.35,33.985309896,37.1033625376,38.0715020488,19.284815927,87.76,49.05,63.604119936,40.2847204233
2012-11-09,25.3682018537,32.9,30.94,9.67723271932,30.8475943682,61.865931383,376.89,13.1583598015,24.3509312807,46.9949303955,93.1720542948,81.5859897026,30.7963478134,14.715,35.285,14.3260154916,29.8782018695,45.3662837894,44.2838402722,37.74,38.337936966,82.833216664,86.7957310484,29.5320406016,33.64478632,17.8315572592,20.6294566708,29.1108665138,54.8445471407,5.3877103114,13.5075805996,56.7340423682,16.3271368931,45.3072391931,34.04,11.4290533005,42.6739985147,28.93448504,33.2574833674,78.8849817242,64.2490075438,48.6963156525,5.62,21.6821822381,24.9736942508,11.3110970831,28.2848832522,52.0,27.3679759177,108.092814452,1.05,48.34,23.8398527606,74.7022033376,31.96,34.5312586493,37.3385246945,38.4205222609,19.3269838919,87.59,48.0,63.4549380874,40.1604122713
2012-11-12,25.3063449541,32.7,31.0,9.64095443359,30.9673729604,61.3065471684,374.38,13.6313727355,24.4123128144,46.2700238174,93.0722556076,82.0304136984,31.0480654252,14.745,35.42,14.3558258687,30.0799576832,45.0959590509,43.7005678067,37.87,38.1596555308,81.8650002831,87.1342856664,29.3145600939,33.4995078421,18.6219202676,20.7837048996,29.0069609819,55.024483319,5.30853749272,13.6581210115,56.1568614835,16.1232793383,45.2245466594,33.88,11.5262233893,42.2774921405,29.4033947118,33.0609968229,78.1274376442,64.3035251573,47.7078801952,5.565,21.6774845494,24.4941335529,11.0559246715,28.2382854215,52.3,27.4232905456,109.194789324,1.09,47.53,23.9639263437,75.6146101849,31.85,34.0438044053,37.2252984708,38.6469137498,19.2426479621,87.12,46.99,63.604119936,40.3468744994
