Date,A,ADBE,ADSK,AMAT,AVGO,AYI,AZO,BBBY,BBY,BRCD,CAG,CASY,COO,COST,CPB,CPRT,CRM,CSCO,DCI,DG,DKS,DLTR,DRI,FDS,FDX,FL,GIS,GME,GPN,GPS,HD,HPQ,HRL,INTU,JBL,JWN,KMX,KR,KSS,LOW,M,MON,MSM,MTN,MU,NKE,NTAP,NVDA,ORCL,PANW,PDCO,PVH,RAD,RHT,RPM,SJM,SNPS,SPLS,STZ,THO,TJX,TTC,URBN,VMW,WDAY,WMT,WSM
2014-02-24,39.5044195196,68.765,54.47,17.9937183478,56.3552428325,134.797323116,542.21,64.9573823378,22.4537165196,9.02743791775,25.9725858267,64.552272433,128.140392244,106.001406982,40.1505718551,17.68,63.91,19.5571795895,38.8012260979,56.0248020493,48.8405569969,52.33,39.9921671509,100.032578981,131.361513473,37.7014493107,44.2583941161,30.265389908,34.333647745,38.2004481879,71.8524918369,12.2445053562,21.990726265,74.2402688661,17.7469219534,49.7222230957,47.89,18.927468099,44.4171046118,44.2964647233,46.499180341,101.377903513,78.8028786128,66.4913483111,24.75,37.227704427,37.0288898225,18.045902672,36.1270177295,76.78,37.7705561286,122.517697119,6.53,58.89,36.7657630774,90.4052418514,40.27,11.4783200101,79.0455802171,52.0130030924,57.7036306434,30.9564343244,36.22,96.69,100.36,66.3168620328,50.5801772721
2014-02-25,39.6018753563,68.01,54.66,17.9465402713,55.8160034768,135.796114814,539.3,66.1386046261,22.5786080696,8.99919775742,25.8724812563,64.6683040791,128.440019038,107.415503337,39.9234244696,17.605,63.66,19.3096203542,39.3527250956,56.0151475944,50.0767860487,52.68,39.6628844573,99.2796660865,129.384321567,38.5494057831,44.4359603914,32.2970748893,34.069312572,38.9925823652,74.7221624368,12.2281356966,21.9626231005,74.1635446507,17.974811802,50.2482046401,48.18,18.865613628,45.4944010856,45.1313620889,49.2947398074,101.136018087,78.4413549961,66.3623104852,24.255,37.3568344398,36.8118063971,17.9647867689,36.2312120649,74.95,37.6410147798,124.845115622,6.7,58.97,37.2700316483,90.6891894195,39.97,11.1440000098,80.0107396203,51.8628934153,58.2769404362,31.14194461,36.79,96.25,98.75,66.3168620328,50.4614873255
2014-02-26,39.7480591114,67.82,54.72,18.0220251936,58.5595019528,138.841935042,535.04,67.0737389377,23.0335701445,9.03685130453,25.7814771013,65.4128404747,129.278974062,107.806240487,39.2964976857,17.745,63.74,19.3891929655,39.6892329587,57.8108762143,51.7884878126,55.29,39.2003206733,99.7561932348,128.926548072,39.1178161657,44.0897061546,31.9612591899,34.1540993256,39.0815862053,75.386523476,12.2363205264,22.0047778473,74.5183941467,18.3546282162,51.6819285274,48.29,19.0464190046,46.5460476433,47.57976897,50.7932998976,101.415116656,79.06243403,65.4866966663,24.22,37.5050948249,37.2090228777,17.936027772,36.4680173725,76.06,37.529979338,125.073878979,6.63,59.75,37.7009520634,90.3228054606,39.95,11.6583384718,79.8255070076,52.2100220435,57.6080790113,31.2275647418,37.9,97.69,100.28,67.609747005,52.5979063655
2014-02-27,39.2329354031,69.92,54.28,17.9371046561,58.0675642951,140.404401262,538.46,66.3453185266,22.8105495196,9.14039855906,25.7177741928,65.6739116784,129.488712818,108.122551514,39.1874669407,18.18,66.22,19.3803515643,39.8574868902,57.7046772099,51.455656914,54.66,39.0435193906,100.312686378,130.075851741,38.9780431208,44.1962459198,31.2728370061,34.6927445837,38.876877373,75.6356588657,12.174934303,22.0937712018,74.9020152233,18.1837108298,52.0636893258,48.68,19.098757403,47.657544005,47.6735776628,50.7056648046,101.294173942,79.7947510998,65.1641021014,24.19,37.4285733358,37.5231010251,17.7347147932,36.8942669262,72.49,37.7983149891,125.531405694,6.74,59.93,38.1135354396,91.2662441547,40.0,11.5211815486,79.3478018484,52.1537309146,58.0285061926,31.3274548956,37.62,97.78,115.47,67.4108416246,52.2692265132
2014-02-28,39.6297198811,68.63,52.48,17.8899265796,58.3702951614,139.484721778,538.44,66.7587463275,23.7561569693,9.0086111442,25.8451800098,66.2250619972,128.050504206,108.662140912,39.3510130582,18.215,62.37,19.2742547491,40.044435703,57.8301851242,51.0372409273,54.77,40.0313674716,101.022694871,129.861574786,38.8662246848,44.4182037639,31.3232093611,35.0767787028,38.9391800611,75.6910222856,12.2281356966,22.224919303,74.9499678579,17.5760045671,52.157008632,48.43,19.9552039233,48.0422927457,46.93248899,50.7056648046,102.354748504,80.026497008,64.8138565738,24.19,37.5628978748,37.3291115811,17.6196788054,37.0458223231,71.15,38.0851565471,125.750222818,6.59,58.99,38.3794225042,91.6051493167,40.4,11.6497661641,78.9968347927,52.5477688168,58.7260331072,31.5034518332,37.44,96.05,109.92,67.5374177757,53.173096107
2014-03-03,39.4765749949,67.86,51.67,17.6540361975,58.4081365197,138.663932561,541.23,66.7981204038,23.3279573694,9.03685130453,25.8269791788,64.9680524981,127.980591288,107.685298036,39.0966079865,18.08,61.49,19.0709025201,39.6985803993,57.7722583945,50.5807871236,54.72,37.8910299628,99.9576821314,129.910274094,38.9407703088,44.2672724299,31.2224646512,34.9520923005,38.4941608604,75.6633405757,12.1667494732,22.0375648726,74.6814331042,17.38609636,51.927952153,48.13,19.9789941045,47.9738929696,47.0825828984,50.4953405814,103.387413209,79.9523383174,63.6617331279,24.48,37.126343123,37.4122499143,17.5334018145,36.4774895848,67.8,37.7798090821,124.32791151,6.58,58.28,38.7369947636,90.7258278154,39.84,11.538326164,79.1138238113,52.2756950272,58.181388804,30.8850842146,37.52,95.65,106.3,67.013030864,52.9904961891
2014-03-04,40.2214160325,68.6,53.5,17.7766991962,59.9312511908,141.788865002,538.56,66.9556167089,23.0157284945,9.09333162518,26.1636945522,66.9115825699,132.235291763,108.52259193,39.9688539467,18.315,63.07,19.2919375517,40.2687742784,57.7529494846,51.4081096428,54.63,38.1183918228,101.617566851,133.52376275,39.8725906081,45.0485640412,31.356790931,35.515674839,38.0847431957,76.4661101647,12.326353654,22.3185965182,77.5969532871,17.8608668777,52.3012293781,49.43,20.1693155534,47.7857935853,47.4953411465,50.5216311093,105.350406477,80.8422426047,64.3253562328,25.11,37.7164116337,37.116646952,17.7155421286,37.3299886922,70.63,38.5663101284,125.660706722,6.77,60.49,39.232094815,90.9273389928,40.58,11.5468984717,80.4396993551,53.9925744583,58.8024744129,31.4701551153,37.3,101.04,109.08,67.9261873827,53.9034957788
2014-03-05,40.2353382949,68.9,53.44,18.0880745006,59.6758220224,142.055868723,543.84,67.6938806391,22.7837870446,9.42280016232,26.3730041086,65.5578800323,130.717182673,108.355133151,39.7780501429,18.39,63.68,19.336144558,40.0257408217,57.6467504802,50.9839188623,54.01,37.5852674616,101.396888536,133.348445241,39.4812260824,44.9597809035,32.5321458789,35.7201605389,37.9245362835,76.5030191113,12.2526901859,22.4169575941,77.3284185334,17.6044907981,52.241844365,49.1,20.7831022263,47.033396048,47.2326768068,50.2324353024,105.043398051,81.6579882015,65.4406117284,24.83,37.1407350379,36.7748560268,17.8689234457,37.4152386029,69.4,38.501539454,124.994309116,6.73,60.55,39.2229262955,90.1579326791,40.47,11.4868923178,80.6541792225,54.3678486508,58.9840225139,31.3607516136,37.14,102.83,107.03,67.6278293123,54.1500056681
2014-03-06,40.9105680206,68.92,53.74,18.2862224216,60.2056010384,141.956978456,541.5,67.1918611665,22.6945787946,9.60165451106,26.5186107565,65.0067297135,129.928165449,105.368784929,39.7235347704,18.41,63.14,19.2919375517,40.1566049907,57.3571168318,51.2227865482,54.11,38.3457536827,101.867029294,133.718559982,39.8166813902,44.9864158448,32.481773524,35.7500852754,37.639723995,76.0416572785,12.3140764093,22.1593452524,77.4243238026,17.4525642324,52.5218022838,48.95,20.6356031034,46.7939968317,46.9887742056,50.2149082838,105.815570759,81.8526547643,65.7724232809,24.77,37.5245194351,36.0543238063,17.6196788054,37.3773497537,69.45,38.8624046399,125.173341309,6.64,60.86,39.1129040619,89.4251647614,40.48,9.72974068548,81.7460767292,55.2028337293,58.4107127211,31.5177218552,36.99,101.96,104.79,67.7001585415,53.7665458404
2014-03-07,40.6669284288,68.52,53.61,18.531548419,59.3636308165,141.927311376,541.99,68.0777778828,23.0157284945,9.58282773751,26.8189244679,64.1558309756,136.310216161,105.592063301,39.8961667834,18.41,60.74,19.2123649403,40.3622486848,57.3378079219,51.2132318407,54.33,39.1611203527,100.667690624,134.001015968,43.3203257156,45.1018339238,32.3390518517,36.1989563238,37.7198274512,76.1708385917,12.4163867816,22.1452936701,78.8341312594,17.4620596428,53.2297122529,48.6,20.8306825886,47.4095948166,47.2983428917,50.8721714812,106.13188247,81.8526547643,65.66181943,24.42,38.1193852507,35.0104758457,17.6005061407,36.7806003785,77.12,38.8624046399,125.62092179,6.56,60.52,39.543824477,89.3427283707,40.4,9.84100923942,81.8045712385,56.0002913886,58.9649121875,31.4844251373,37.56,101.51,102.08,67.8628993072,54.4786855204
